environment,trigger,premise,hypothesis,predifined_label,human_selection,match
unembedded,temporal,The student burst into the room after splitting the log., The student split the log.,entailment,entailment,1
neg,temporal,The teacher did not bet $100 on the race before casting bronze into a statue., The teacher did not cast bronze into a statue.,contradiction,contradiction,1
neg,again,The kid did not upset the boat again., The kid had upset the boat before.,entailment,entailment,1
conditional,again,If the boy had burst into the room again%2C the director could have hit the ball with the bat., The boy had burst into the room before.,entailment,entailment,1
question,csv,Did the kid stop shutting the door?, The kid had not been shutting the door.,contradiction,contradiction,1
neg,temporal,The teacher did not upset the boat while spreading the rumor., The teacher spread the rumor.,entailment,entailment,1
conditional,csv,If the worker had gave up hitting the ball with the bat%2C the manager could have spread the rumor., The worker had not been hitting the ball with the bat.,contradiction,contradiction,1
question,again,Did the boy hurt others again?, The boy had hurt others before.,entailment,entailment,1
unembedded,again,The student let the blinds down again., The student had not let the blinds down before.,contradiction,contradiction,1
unembedded,factive,The dancer regretted letting the blinds down., The dancer let the blinds down.,entailment,entailment,1
neg,temporal,The teacher did not thrust the fork into the cake after shutting the door., The teacher shut the door.,entailment,entailment,1
unembedded,manner,The professor cast bronze into a statue sadly., The professor cast bronze into a statue.,entailment,entailment,1
neg,again,The professor did not cast bronze into a statue again., The professor had cast bronze into a statue before.,entailment,entailment,1
unembedded,again,The stranger burst into the room again., The stranger had not burst into the room before.,contradiction,contradiction,1
unembedded,temporal,The professor shed tears when spreading the rumor., The professor did not spread the rumor.,contradiction,contradiction,1
conditional,csv,If the stranger had continued bursting into the room%2C the assistant would have spread the rumor., The stranger had been bursting into the room.,entailment,entailment,1
neg,csv,The woman did not finish casting bronze into a statue., The woman had been casting bronze into a statue.,entailment,entailment,1
neg,manner,The manager did not shut the door slowly., The manager did not shut the door.,contradiction,contradiction,1
conditional,manner,If the doctor had spread the rumor easily%2C the worker could have read the letter., The doctor spread the rumor.,entailment,entailment,1
question,manner,Did the woman cast bronze into a statue quickly?, The woman did not cast bronze into a statue.,contradiction,neutral,0
neg,factive,The professor did not forget slitting the envelope., The professor slit the envelope.,entailment,entailment,1
conditional,csv,If the teacher had continued shedding tears%2C the assistant could have read the letter., The teacher had been shedding tears.,entailment,entailment,1
question,again,Did the professor cast bronze into a statue again?, The professor had not cast bronze into a statue before.,contradiction,contradiction,1
question,temporal,Did the assistant cast bronze into a statue before setting the dish on the table?, The assistant set the dish on the table.,entailment,entailment,1
conditional,temporal,If the student had let the blinds down before thrusting the fork into the cake%2C the director would have hit the ball with the bat., The student did not thrust the fork into the cake.,contradiction,contradiction,1
unembedded,temporal,The dancer burst into the room while slitting the envelope., The dancer did not slit the envelope.,contradiction,contradiction,1
unembedded,manner,The woman bet $100 on the race sadly.,The woman did not bet $100 on the race.,contradiction,contradiction,1
neg,again,The stranger did not split the log again., The stranger had not split the log before.,contradiction,contradiction,1
question,manner,Did the athlete shut the door slowly?, The athlete shut the door.,entailment,entailment,1
conditional,again,If the kid had read the letter again%2C the dancer could have let the blinds down., The kid had not read the letter before.,contradiction,contradiction,1
question,csv,Did the athlete finish hitting the ball with the bat?, The athlete had not been hitting the ball with the bat.,contradiction,contradiction,1
question,factive,Did the boy regret slitting the envelope?, The boy slit the envelope.,entailment,entailment,1
neg,temporal,The student did not burst into the room after casting bronze into a statue., The student did not cast bronze into a statue.,contradiction,contradiction,1
neg,manner,The student did not spread the rumor happily., The student spread the rumor.,entailment,entailment,1
neg,manner,The professor did not set the dish on the table quietly., The professor set the dish on the table.,entailment,entailment,1
conditional,manner,If the girl had cast bronze into a statue quickly%2C the teacher would have let the blinds down., The girl cast bronze into a statue.,entailment,entailment,1
question,factive,Did the singer remember putting the book on the shelf?, The singer did not put the book on the shelf.,contradiction,contradiction,1
question,factive,Did the athlete forget thrusting the fork into the cake?, The athlete did not thrust the fork into the cake.,contradiction,contradiction,1
unembedded,temporal,The boy spread the rumor when bursting into the room., The boy burst into the room.,entailment,entailment,1
question,temporal,Did the woman hurt others while spreading the rumor?, The woman spread the rumor.,entailment,entailment,1
conditional,again,If the director had slit the envelope again%2C the manager would have split the log., The director had not slit the envelope before.,contradiction,contradiction,1
conditional,factive,If the boy had regretted casting bronze into a statue%2C the singer could have upset the boat., The boy cast bronze into a statue.,entailment,entailment,1
conditional,temporal,If the dancer had upset the boat before setting the dish on the table%2C the director would have split the log., The dancer set the dish on the table.,entailment,entailment,1
neg,csv,The girl did not quit splitting the log., The girl had not been splitting the log.,contradiction,contradiction,1
unembedded,csv,The professor quit casting bronze into a statue., The professor had not been casting bronze into a statue.,contradiction,contradiction,1
unembedded,csv,The professor stopped reading the letter., The professor had not been reading the letter.,contradiction,contradiction,1
question,manner,Did the stranger upset the boat slowly?, The stranger upset the boat.,entailment,entailment,1
conditional,factive,If the teacher had remembered shutting the door%2C the stranger would have burst into the room., The teacher did not shut the door.,contradiction,contradiction,1
unembedded,factive,The athlete forgot upsetting the boat., The athlete upset the boat.,entailment,entailment,1
conditional,manner,If the singer had hurt others anxiously%2C the manager would have shed tears., The singer did not hurt others.,contradiction,neutral,0
unembedded,factive,The doctor forgot shutting the door., The doctor did not shut the door.,contradiction,contradiction,1
unembedded,csv,The athlete kept shedding tears., The athlete had been shedding tears.,entailment,entailment,1
neg,csv,The singer did not cease splitting the log., The singer had not been splitting the log.,contradiction,contradiction,1
unembedded,factive,The worker forgot betting $100 on the race.,The worker did not bet $100 on the race.,contradiction,contradiction,1
unembedded,again,The stranger set the dish on the table again., The stranger had set the dish on the table before.,entailment,entailment,1
conditional,again,If the doctor had spread the rumor again%2C the worker could have slit the envelope., The doctor had spread the rumor before.,entailment,entailment,1
conditional,factive,If the manager had remembered shedding tears%2C the dancer could have read the letter., The manager did not shed tears.,contradiction,contradiction,1
question,temporal,Did the director set the dish on the table while slitting the envelope?, The director did not slit the envelope.,contradiction,neutral,0
neg,factive,The girl did not forget thrusting the fork into the cake., The girl thrust the fork into the cake.,entailment,entailment,1
question,csv,Did the dancer quit hitting the ball with the bat?, The dancer had been hitting the ball with the bat.,entailment,entailment,1
neg,factive,The kid did not forget upsetting the boat., The kid did not upset the boat.,contradiction,contradiction,1
question,again,Did the worker let the blinds down again?, The worker had let the blinds down before.,entailment,entailment,1
neg,manner,The student did not shed tears quietly., The student did not shed tears.,contradiction,contradiction,1
neg,factive,The manager did not forget letting the blinds down., The manager did not let the blinds down.,contradiction,contradiction,1
unembedded,temporal,The girl hurt others while shutting the door., The girl did not shut the door.,contradiction,contradiction,1
neg,factive,The manager did not forget slitting the envelope., The manager slit the envelope.,entailment,entailment,1
unembedded,csv,The worker continued splitting the log., The worker had not been splitting the log.,contradiction,contradiction,1
conditional,temporal,If the stranger had shed tears before slitting the envelope%2C the professor could have cast bronze into a statue., The stranger did not slit the envelope.,contradiction,contradiction,1
unembedded,csv,The dancer continued splitting the log., The dancer had been splitting the log.,entailment,entailment,1
unembedded,factive,The woman remembered letting the blinds down., The woman did not let the blinds down.,contradiction,neutral,0
conditional,csv,If the student had stopped hurting others%2C the dancer could have shed tears., The student had not been hurting others.,contradiction,contradiction,1
conditional,again,If the kid had bet $100 on the race again%2C the child could have split the log.,The kid had not bet $100 on the race before.,contradiction,contradiction,1
question,temporal,Did the doctor hurt others after slitting the envelope?, The doctor slit the envelope.,entailment,entailment,1
question,again,Did the boy hit the ball with the bat again?, The boy had not hit the ball with the bat before.,contradiction,contradiction,1
question,manner,Did the kid put the book on the shelf slowly?, The kid put the book on the shelf.,entailment,entailment,1
question,csv,Did the professor finish hitting the ball with the bat?, The professor had not been hitting the ball with the bat.,contradiction,contradiction,1
unembedded,again,The assistant burst into the room again., The assistant had not burst into the room before.,contradiction,contradiction,1
neg,again,The athlete did not set the dish on the table again., The athlete had not set the dish on the table before.,contradiction,contradiction,1
neg,temporal,The stranger did not bet $100 on the race while spreading the rumor., The stranger did not spread the rumor.,contradiction,contradiction,1
question,factive,Did the worker regret casting bronze into a statue?, The worker cast bronze into a statue.,entailment,entailment,1
neg,again,The kid did not split the log again., The kid had not split the log before.,contradiction,contradiction,1
unembedded,csv,The worker finished putting the book on the shelf., The worker had been putting the book on the shelf.,entailment,entailment,1
conditional,csv,If the child had kept shedding tears%2C the doctor could have burst into the room., The child had not been shedding tears.,contradiction,contradiction,1
conditional,temporal,If the singer had burst into the room when hitting the ball with the bat%2C the assistant could have bet $100 on the race., The singer did not hit the ball with the bat.,contradiction,contradiction,1
neg,manner,The athlete did not slit the envelope easily., The athlete slit the envelope.,entailment,entailment,1
unembedded,manner,The child read the letter slowly., The child read the letter.,entailment,entailment,1
conditional,again,If the girl had hit the ball with the bat again%2C the doctor could have let the blinds down., The girl had hit the ball with the bat before.,entailment,entailment,1
question,temporal,Did the kid slit the envelope when hitting the ball with the bat?, The kid hit the ball with the bat.,entailment,entailment,1
question,temporal,Did the man burst into the room when splitting the log?, The man did not split the log.,contradiction,contradiction,1
neg,manner,The child did not thrust the fork into the cake easily., The child thrust the fork into the cake.,entailment,entailment,1
conditional,manner,If the athlete had put the book on the shelf sadly%2C the boy could have read the letter., The athlete did not put the book on the shelf.,contradiction,contradiction,1
conditional,csv,If the student had ceased casting bronze into a statue%2C the teacher would have set the dish on the table., The student had been casting bronze into a statue.,entailment,entailment,1
unembedded,csv,The manager ceased letting the blinds down., The manager had not been letting the blinds down.,contradiction,contradiction,1
unembedded,manner,The manager hit the ball with the bat happily., The manager hit the ball with the bat.,entailment,entailment,1
unembedded,again,The assistant shed tears again., The assistant had not shed tears before.,contradiction,contradiction,1
neg,factive,The man did not forget letting the blinds down., The man let the blinds down.,entailment,entailment,1
question,manner,Did the worker let the blinds down anxiously?, The worker did not let the blinds down.,contradiction,neutral,0
conditional,temporal,If the man had let the blinds down when betting $100 on the race%2C the manager would have cast bronze into a statue.,The man bet $100 on the race.,entailment,entailment,1
question,factive,Did the man regret betting $100 on the race?,The man did not bet $100 on the race.,contradiction,contradiction,1
unembedded,temporal,The child set the dish on the table while thrusting the fork into the cake., The child thrust the fork into the cake.,entailment,entailment,1
unembedded,factive,The athlete regretted upsetting the boat., The athlete upset the boat.,entailment,entailment,1
question,factive,Did the singer regret bursting into the room?, The singer burst into the room.,entailment,entailment,1
conditional,factive,If the boy had regretted bursting into the room%2C the kid could have slit the envelope., The boy burst into the room.,entailment,entailment,1
question,manner,Did the kid hurt others easily?, The kid did not hurt others.,contradiction,neutral,0
neg,temporal,The woman did not put the book on the shelf before shedding tears., The woman shed tears.,entailment,entailment,1
unembedded,factive,The director forgot slitting the envelope., The director did not slit the envelope.,contradiction,neutral,0
neg,again,The kid did not slit the envelope again., The kid had slit the envelope before.,entailment,contradiction,0
question,csv,Did the athlete stop shedding tears?, The athlete had been shedding tears.,entailment,entailment,1
neg,csv,The boy did not cease shutting the door., The boy had not been shutting the door.,contradiction,contradiction,1
neg,again,The singer did not shed tears again., The singer had shed tears before.,entailment,contradiction,0
neg,manner,The teacher did not upset the boat calmly., The teacher did not upset the boat.,contradiction,contradiction,1
neg,factive,The assistant did not regret hurting others., The assistant did not hurt others.,contradiction,contradiction,1
conditional,manner,If the manager had put the book on the shelf anxiously%2C the dancer could have cast bronze into a statue., The manager put the book on the shelf.,entailment,entailment,1
conditional,factive,If the teacher had remembered casting bronze into a statue%2C the singer would have read the letter., The teacher did not cast bronze into a statue.,contradiction,contradiction,1
conditional,again,If the doctor had shed tears again%2C the worker could have bet $100 on the race., The doctor had shed tears before.,entailment,entailment,1
question,again,Did the student put the book on the shelf again?, The student had not put the book on the shelf before.,contradiction,contradiction,1
question,csv,Did the worker keep hurting others?, The worker had been hurting others.,entailment,entailment,1
neg,temporal,The student did not hit the ball with the bat before shutting the door., The student did not shut the door.,contradiction,contradiction,1
question,again,Did the athlete burst into the room again?, The athlete had burst into the room before.,entailment,entailment,1
unembedded,manner,The child burst into the room angrily., The child did not burst into the room.,contradiction,contradiction,1
unembedded,temporal,The professor hurt others when setting the dish on the table., The professor did not set the dish on the table.,contradiction,contradiction,1
conditional,temporal,If the woman had shut the door after reading the letter%2C the assistant could have split the log., The woman read the letter.,entailment,entailment,1
unembedded,temporal,The dancer hurt others while bursting into the room., The dancer burst into the room.,entailment,entailment,1
conditional,manner,If the student had bet $100 on the race quietly%2C the man could have let the blinds down.,The student did not bet $100 on the race.,contradiction,contradiction,1
question,factive,Did the woman forget shutting the door?, The woman did not shut the door.,contradiction,contradiction,1
conditional,csv,If the athlete had quit putting the book on the shelf%2C the manager would have slit the envelope., The athlete had been putting the book on the shelf.,entailment,entailment,1
conditional,factive,If the director had forgot shedding tears%2C the assistant would have set the dish on the table., The director shed tears.,entailment,entailment,1
conditional,factive,If the woman had remembered upsetting the boat%2C the manager would have burst into the room., The woman did not upset the boat.,contradiction,contradiction,1
neg,csv,The director did not cease spreading the rumor., The director had been spreading the rumor.,entailment,entailment,1
unembedded,factive,The boy remembered casting bronze into a statue., The boy cast bronze into a statue.,entailment,entailment,1
unembedded,again,The man cast bronze into a statue again., The man had cast bronze into a statue before.,entailment,entailment,1
question,csv,Did the dancer stop thrusting the fork into the cake?, The dancer had not been thrusting the fork into the cake.,contradiction,contradiction,1
neg,csv,The dancer did not keep slitting the envelope., The dancer had been slitting the envelope.,entailment,entailment,1
question,temporal,Did the boy hit the ball with the bat while casting bronze into a statue?, The boy did not cast bronze into a statue.,contradiction,contradiction,1
neg,csv,The worker did not give up setting the dish on the table., The worker had not been setting the dish on the table.,contradiction,contradiction,1
conditional,again,If the boy had slit the envelope again%2C the woman would have hurt others., The boy had not slit the envelope before.,contradiction,contradiction,1
neg,temporal,The stranger did not bet $100 on the race while shutting the door., The stranger shut the door.,entailment,entailment,1
unembedded,again,The student slit the envelope again., The student had slit the envelope before.,entailment,entailment,1
conditional,manner,If the worker had upset the boat calmly%2C the boy could have spread the rumor., The worker upset the boat.,entailment,entailment,1
question,manner,Did the manager bet $100 on the race easily?,The manager bet $100 on the race.,entailment,entailment,1
unembedded,manner,The doctor slit the envelope sadly., The doctor did not slit the envelope.,contradiction,contradiction,1
unembedded,again,The man cast bronze into a statue again., The man had cast bronze into a statue before.,entailment,entailment,1
question,again,Did the boy hit the ball with the bat again?, The boy had not hit the ball with the bat before.,contradiction,contradiction,1
question,again,Did the worker let the blinds down again?, The worker had let the blinds down before.,entailment,neutral,0
conditional,again,If the doctor had shed tears again%2C the worker could have bet $100 on the race., The doctor had shed tears before.,entailment,neutral,0
unembedded,csv,The manager ceased letting the blinds down., The manager had not been letting the blinds down.,contradiction,contradiction,1
conditional,factive,If the director had forgot shedding tears%2C the assistant would have set the dish on the table., The director shed tears.,entailment,contradiction,0
neg,manner,The student did not shed tears quietly., The student did not shed tears.,contradiction,entailment,0
unembedded,manner,The child burst into the room angrily., The child did not burst into the room.,contradiction,contradiction,1
neg,manner,The athlete did not slit the envelope easily., The athlete slit the envelope.,entailment,contradiction,0
neg,again,The singer did not shed tears again., The singer had shed tears before.,entailment,contradiction,0
question,temporal,Did the man burst into the room when splitting the log?, The man did not split the log.,contradiction,neutral,0
neg,csv,The worker did not give up setting the dish on the table., The worker had not been setting the dish on the table.,contradiction,contradiction,1
unembedded,factive,The director forgot slitting the envelope., The director did not slit the envelope.,contradiction,contradiction,1
question,factive,Did the singer regret bursting into the room?, The singer burst into the room.,entailment,entailment,1
question,manner,Did the worker let the blinds down anxiously?, The worker did not let the blinds down.,contradiction,neutral,0
unembedded,temporal,The child set the dish on the table while thrusting the fork into the cake., The child thrust the fork into the cake.,entailment,entailment,1
unembedded,csv,The dancer continued splitting the log., The dancer had been splitting the log.,entailment,entailment,1
unembedded,temporal,The professor hurt others when setting the dish on the table., The professor did not set the dish on the table.,contradiction,contradiction,1
conditional,factive,If the boy had regretted bursting into the room%2C the kid could have slit the envelope., The boy burst into the room.,entailment,contradiction,0
conditional,manner,If the worker had upset the boat calmly%2C the boy could have spread the rumor., The worker upset the boat.,entailment,neutral,0
conditional,csv,If the child had kept shedding tears%2C the doctor could have burst into the room., The child had not been shedding tears.,contradiction,contradiction,1
question,temporal,Did the doctor hurt others after slitting the envelope?, The doctor slit the envelope.,entailment,entailment,1
unembedded,manner,The manager hit the ball with the bat happily., The manager hit the ball with the bat.,entailment,entailment,1
unembedded,again,The assistant burst into the room again., The assistant had not burst into the room before.,contradiction,contradiction,1
conditional,again,If the girl had hit the ball with the bat again%2C the doctor could have let the blinds down., The girl had hit the ball with the bat before.,entailment,neutral,0
neg,factive,The manager did not forget letting the blinds down., The manager did not let the blinds down.,contradiction,entailment,0
conditional,temporal,If the man had let the blinds down when betting $100 on the race%2C the manager would have cast bronze into a statue.,The man bet $100 on the race.,entailment,entailment,1
question,factive,Did the man regret betting $100 on the race?,The man did not bet $100 on the race.,contradiction,neutral,0
conditional,csv,If the athlete had quit putting the book on the shelf%2C the manager would have slit the envelope., The athlete had been putting the book on the shelf.,entailment,entailment,1
neg,again,The kid did not slit the envelope again., The kid had slit the envelope before.,entailment,contradiction,0
question,manner,Did the kid put the book on the shelf slowly?, The kid put the book on the shelf.,entailment,neutral,0
conditional,again,If the kid had bet $100 on the race again%2C the child could have split the log.,The kid had not bet $100 on the race before.,contradiction,neutral,0
question,csv,Did the professor finish hitting the ball with the bat?, The professor had not been hitting the ball with the bat.,contradiction,contradiction,1
unembedded,factive,The boy remembered casting bronze into a statue., The boy cast bronze into a statue.,entailment,entailment,1
conditional,again,If the boy had slit the envelope again%2C the woman would have hurt others., The boy had not slit the envelope before.,contradiction,neutral,0
unembedded,manner,The doctor slit the envelope sadly., The doctor did not slit the envelope.,contradiction,contradiction,1
conditional,temporal,If the woman had shut the door after reading the letter%2C the assistant could have split the log., The woman read the letter.,entailment,entailment,1
unembedded,factive,The athlete regretted upsetting the boat., The athlete upset the boat.,entailment,entailment,1
neg,factive,The man did not forget letting the blinds down., The man let the blinds down.,entailment,entailment,1
neg,factive,The assistant did not regret hurting others., The assistant did not hurt others.,contradiction,entailment,0
question,manner,Did the kid hurt others easily?, The kid did not hurt others.,contradiction,neutral,0
conditional,factive,If the woman had remembered upsetting the boat%2C the manager would have burst into the room., The woman did not upset the boat.,contradiction,neutral,0
question,again,Did the athlete burst into the room again?, The athlete had burst into the room before.,entailment,neutral,0
conditional,factive,If the teacher had remembered casting bronze into a statue%2C the singer would have read the letter., The teacher did not cast bronze into a statue.,contradiction,neutral,0
unembedded,factive,The woman remembered letting the blinds down., The woman did not let the blinds down.,contradiction,contradiction,1
conditional,manner,If the manager had put the book on the shelf anxiously%2C the dancer could have cast bronze into a statue., The manager put the book on the shelf.,entailment,neutral,0
neg,again,The athlete did not set the dish on the table again., The athlete had not set the dish on the table before.,contradiction,contradiction,1
question,temporal,Did the boy hit the ball with the bat while casting bronze into a statue?, The boy did not cast bronze into a statue.,contradiction,neutral,0
conditional,temporal,If the singer had burst into the room when hitting the ball with the bat%2C the assistant could have bet $100 on the race., The singer did not hit the ball with the bat.,contradiction,contradiction,1
neg,temporal,The woman did not put the book on the shelf before shedding tears., The woman shed tears.,entailment,entailment,1
conditional,temporal,If the stranger had shed tears before slitting the envelope%2C the professor could have cast bronze into a statue., The stranger did not slit the envelope.,contradiction,contradiction,1
neg,csv,The boy did not cease shutting the door., The boy had not been shutting the door.,contradiction,contradiction,1
question,factive,Did the woman forget shutting the door?, The woman did not shut the door.,contradiction,neutral,0
neg,temporal,The stranger did not bet $100 on the race while shutting the door., The stranger shut the door.,entailment,entailment,1
neg,again,The kid did not split the log again., The kid had not split the log before.,contradiction,contradiction,1
question,factive,Did the worker regret casting bronze into a statue?, The worker cast bronze into a statue.,entailment,entailment,1
question,csv,Did the dancer stop thrusting the fork into the cake?, The dancer had not been thrusting the fork into the cake.,contradiction,contradiction,1
unembedded,temporal,The dancer hurt others while bursting into the room., The dancer burst into the room.,entailment,entailment,1
question,again,Did the student put the book on the shelf again?, The student had not put the book on the shelf before.,contradiction,contradiction,1
unembedded,manner,The child read the letter slowly., The child read the letter.,entailment,entailment,1
neg,manner,The child did not thrust the fork into the cake easily., The child thrust the fork into the cake.,entailment,contradiction,0
unembedded,again,The student slit the envelope again., The student had slit the envelope before.,entailment,entailment,1
unembedded,csv,The worker continued splitting the log., The worker had not been splitting the log.,contradiction,contradiction,1
unembedded,again,The assistant shed tears again., The assistant had not shed tears before.,contradiction,contradiction,1
question,manner,Did the manager bet $100 on the race easily?,The manager bet $100 on the race.,entailment,neutral,0
neg,factive,The manager did not forget slitting the envelope., The manager slit the envelope.,entailment,entailment,1
question,csv,Did the athlete stop shedding tears?, The athlete had been shedding tears.,entailment,entailment,1
conditional,manner,If the athlete had put the book on the shelf sadly%2C the boy could have read the letter., The athlete did not put the book on the shelf.,contradiction,entailment,0
unembedded,temporal,The girl hurt others while shutting the door., The girl did not shut the door.,contradiction,contradiction,1
question,temporal,Did the kid slit the envelope when hitting the ball with the bat?, The kid hit the ball with the bat.,entailment,entailment,1
unembedded,csv,The worker finished putting the book on the shelf., The worker had been putting the book on the shelf.,entailment,entailment,1
question,csv,Did the worker keep hurting others?, The worker had been hurting others.,entailment,entailment,1
neg,temporal,The stranger did not bet $100 on the race while spreading the rumor., The stranger did not spread the rumor.,contradiction,entailment,0
conditional,csv,If the student had stopped hurting others%2C the dancer could have shed tears., The student had not been hurting others.,contradiction,contradiction,1
conditional,csv,If the student had ceased casting bronze into a statue%2C the teacher would have set the dish on the table., The student had been casting bronze into a statue.,entailment,entailment,1
neg,manner,The teacher did not upset the boat calmly., The teacher did not upset the boat.,contradiction,entailment,0
conditional,manner,If the student had bet $100 on the race quietly%2C the man could have let the blinds down.,The student did not bet $100 on the race.,contradiction,entailment,0
neg,csv,The dancer did not keep slitting the envelope., The dancer had been slitting the envelope.,entailment,contradiction,0
neg,csv,The director did not cease spreading the rumor., The director had been spreading the rumor.,entailment,contradiction,0
neg,temporal,The student did not hit the ball with the bat before shutting the door., The student did not shut the door.,contradiction,entailment,0
question,again,Did the teacher let the blinds down again?, The teacher had not let the blinds down before.,contradiction,contradiction,1
conditional,temporal,If the kid had shed tears while hurting others%2C the director could have cast bronze into a statue., The kid did not hurt others.,contradiction,contradiction,1
question,manner,Did the student slit the envelope anxiously?, The student slit the envelope.,entailment,entailment,1
question,temporal,Did the singer upset the boat while hurting others?, The singer hurt others.,entailment,entailment,1
question,factive,Did the woman remember thrusting the fork into the cake?, The woman thrust the fork into the cake.,entailment,entailment,1
unembedded,factive,The stranger forgot hurting others., The stranger hurt others.,entailment,entailment,1
question,manner,Did the professor slit the envelope slowly?, The professor did not slit the envelope.,contradiction,contradiction,1
question,again,Did the doctor slit the envelope again?, The doctor had slit the envelope before.,entailment,entailment,1
conditional,again,If the professor had hit the ball with the bat again%2C the girl could have bet $100 on the race., The professor had not hit the ball with the bat before.,contradiction,contradiction,1
neg,manner,The professor did not put the book on the shelf slowly., The professor did not put the book on the shelf.,contradiction,entailment,0
question,csv,Did the woman cease putting the book on the shelf?, The woman had not been putting the book on the shelf.,contradiction,contradiction,1
conditional,manner,If the girl had bet $100 on the race slowly%2C the woman could have upset the boat.,The girl bet $100 on the race.,entailment,entailment,1
neg,manner,The dancer did not read the letter happily., The dancer did not read the letter.,contradiction,entailment,0
question,again,Did the athlete hurt others again?, The athlete had not hurt others before.,contradiction,contradiction,1
unembedded,csv,The professor continued shedding tears., The professor had not been shedding tears.,contradiction,contradiction,1
unembedded,manner,The dancer thrust the fork into the cake angrily., The dancer did not thrust the fork into the cake.,contradiction,contradiction,1
unembedded,again,The boy hurt others again., The boy had hurt others before.,entailment,entailment,1
question,csv,Did the singer give up betting $100 on the race?,The singer had been betting $100 on the race.,entailment,entailment,1
conditional,manner,If the student had upset the boat sadly%2C the professor would have read the letter., The student did not upset the boat.,contradiction,contradiction,1
conditional,manner,If the man had hit the ball with the bat happily%2C the assistant would have set the dish on the table., The man hit the ball with the bat.,entailment,entailment,1
question,again,Did the child hurt others again?, The child had hurt others before.,entailment,entailment,1
unembedded,manner,The teacher thrust the fork into the cake quickly., The teacher did not thrust the fork into the cake.,contradiction,contradiction,1
neg,again,The professor did not upset the boat again., The professor had not upset the boat before.,contradiction,entailment,0
unembedded,temporal,The worker put the book on the shelf before shutting the door., The worker shut the door.,entailment,neutral,0
neg,again,The doctor did not split the log again., The doctor had split the log before.,entailment,contradiction,0
question,factive,Did the girl forget upsetting the boat?, The girl did not upset the boat.,contradiction,contradiction,1
question,temporal,Did the manager let the blinds down while reading the letter?, The manager read the letter.,entailment,entailment,1
unembedded,factive,The student regretted hitting the ball with the bat., The student did not hit the ball with the bat.,contradiction,contradiction,1
question,temporal,Did the woman set the dish on the table before hurting others?, The woman did not hurt others.,contradiction,contradiction,1
neg,temporal,The man did not thrust the fork into the cake when casting bronze into a statue., The man cast bronze into a statue.,entailment,contradiction,0
unembedded,csv,The woman gave up reading the letter., The woman had not been reading the letter.,contradiction,contradiction,1
conditional,manner,If the manager had shut the door happily%2C the athlete would have spread the rumor., The manager did not shut the door.,contradiction,contradiction,1
neg,csv,The director did not stop shedding tears., The director had not been shedding tears.,contradiction,entailment,0
question,temporal,Did the worker read the letter before spreading the rumor?, The worker did not spread the rumor.,contradiction,contradiction,1
conditional,factive,If the kid had regretted putting the book on the shelf%2C the child would have slit the envelope., The kid put the book on the shelf.,entailment,contradiction,0
unembedded,temporal,The doctor set the dish on the table before hitting the ball with the bat., The doctor did not hit the ball with the bat.,contradiction,contradiction,1
neg,manner,The athlete did not slit the envelope calmly., The athlete slit the envelope.,entailment,contradiction,0
conditional,csv,If the athlete had ceased betting $100 on the race%2C the professor could have burst into the room.,The athlete had been betting $100 on the race.,entailment,entailment,1
conditional,temporal,If the stranger had split the log after betting $100 on the race%2C the child could have spread the rumor.,The stranger bet $100 on the race.,entailment,entailment,1
neg,factive,The girl did not regret upsetting the boat., The girl did not upset the boat.,contradiction,entailment,0
conditional,again,If the professor had upset the boat again%2C the singer would have bet $100 on the race., The professor had upset the boat before.,entailment,entailment,1
unembedded,temporal,The man spread the rumor when letting the blinds down., The man did not let the blinds down.,contradiction,contradiction,1
neg,factive,The dancer did not regret setting the dish on the table., The dancer set the dish on the table.,entailment,contradiction,0
conditional,temporal,If the boy had bet $100 on the race when hurting others%2C the director could have read the letter., The boy hurt others.,entailment,entailment,1
unembedded,again,The doctor let the blinds down again., The doctor had let the blinds down before.,entailment,entailment,1
neg,factive,The kid did not forget putting the book on the shelf., The kid did not put the book on the shelf.,contradiction,entailment,0
neg,csv,The teacher did not give up letting the blinds down., The teacher had not been letting the blinds down.,contradiction,entailment,0
conditional,factive,If the director had regretted putting the book on the shelf%2C the singer would have spread the rumor., The director did not put the book on the shelf.,contradiction,contradiction,1
neg,factive,The manager did not regret shutting the door., The manager shut the door.,entailment,contradiction,0
unembedded,temporal,The man hit the ball with the bat before setting the dish on the table., The man set the dish on the table.,entailment,neutral,0
neg,manner,The boy did not let the blinds down sadly., The boy let the blinds down.,entailment,contradiction,0
neg,temporal,The worker did not split the log after reading the letter., The worker read the letter.,entailment,contradiction,0
question,manner,Did the athlete read the letter happily?, The athlete read the letter.,entailment,entailment,1
conditional,temporal,If the stranger had hit the ball with the bat after shedding tears%2C the assistant could have upset the boat., The stranger did not shed tears.,contradiction,contradiction,1
unembedded,csv,The athlete stopped thrusting the fork into the cake., The athlete had been thrusting the fork into the cake.,entailment,entailment,1
neg,temporal,The girl did not put the book on the shelf after casting bronze into a statue., The girl did not cast bronze into a statue.,contradiction,entailment,0
question,factive,Did the student remember betting $100 on the race?,The student bet $100 on the race.,entailment,entailment,1
neg,temporal,The professor did not read the letter while upsetting the boat., The professor did not upset the boat.,contradiction,entailment,0
unembedded,factive,The boy regretted casting bronze into a statue., The boy did not cast bronze into a statue.,contradiction,contradiction,1
